type,template_names,label_fr
LexicalUseDomain,sidérurgie,Sidérurgie
LexicalUseDomain,ski alpin,Ski alpin
LexicalUseDomain,ski de fond,Ski de fond
LexicalUseDomain,snowboard,Snowboard
LexicalUseDomain,socialisme,Socialisme
LexicalUseDomain,sociolinguistique,Sociolinguistique
LexicalUseDomain,sociologie,Sociologie
LexicalUseDomain,sport,Sport
LexicalUseDomain,squelette,Squelette
LexicalUseDomain,statistiques,Statistiques
LexicalUseDomain,stéréochimie,Stéréochimie
LexicalUseDomain,stéréotomie,Stéréotomie
LexicalUseDomain,stéréotype,Stéréotype
LexicalUseDomain,surf,Surf
LexicalUseDomain,sylviculture,Sylviculture
LexicalUseDomain,taille de pierre,Taille de pierre
LexicalUseDomain,tauromachie,Tauromachie
LexicalUseDomain,technique,Technique
LexicalUseDomain,technologie,Technologie
LexicalUseDomain,télécommunications,Télécommunications
LexicalUseDomain,téléinformatique,Téléinformatique
LexicalUseDomain,téléphonie,Téléphonie
LexicalUseDomain,tennis,Tennis
LexicalUseDomain,tennis de table,Tennis de table
LexicalUseDomain,tératologie,Tératologie
LexicalUseDomain,textile,Textile
LexicalUseDomain,théâtre,Théâtre
LexicalUseDomain,théologie,Théologie
LexicalUseDomain,théorie des graphes,Théorie des graphes
LexicalUseDomain,thermodynamique,Thermodynamique
LexicalUseDomain,tonnellerie,Tonnellerie
LexicalUseDomain,topographie,Topographie
LexicalUseDomain,topologie,Topologie
LexicalUseDomain,toponymie,Toponymie
LexicalUseDomain,tourisme,Tourisme
LexicalUseDomain,transport,Transport
LexicalUseDomain,travail,Travail
LexicalUseDomain,triathlon,Triathlon
LexicalUseDomain,typographie,Typographie
LexicalUseDomain,ufologie,Ufologie
LexicalUseDomain,urbanisme,Urbanisme
LexicalUseDomain,usinage,Usinage
LexicalUseDomain,vaudou,Vaudou
LexicalUseDomain,versification,Versification
LexicalUseDomain,vexillologie,Vexillologie
LexicalUseDomain,virologie,Virologie
LexicalUseDomain,viticulture,Viticulture
LexicalUseDomain,vitrerie,Vitrerie
LexicalUseDomain,volley-ball,Volley-ball
LexicalUseDomain,wiki,Wiki
LexicalUseDomain,yoga,Yoga
LexicalUseDomain,zoologie,Zoologie
RelationshipBetweenDefinition,en particulier;particulier;partic;part,En particulier
RelationshipBetweenDefinition,figuré;idiomatique;au figuré;métaph;métaphore,Figuré
RelationshipBetweenDefinition,généralement,Généralement
RelationshipBetweenDefinition,génériquement,Génériquement
RelationshipBetweenDefinition,par analogie;analogie,Par analogie
RelationshipBetweenDefinition,par euphémisme;euphémisme;euph;euphém,Par euphémisme
RelationshipBetweenDefinition,par extension;par ext,Par extension
